x,y
396465,4435135
396495,4435135
396525,4435135
396555,4435135
396585,4435135
396615,4435135
396645,4435135
396675,4435135
396705,4435135
396735,4435135
396765,4435135
396795,4435135
396825,4435135
396855,4435135
396885,4435135
396915,4435135
396945,4435135
396975,4435135
397005,4435135
397035,4435135
397065,4435135
397095,4435135
397125,4435135
397155,4435135
397185,4435135
397215,4435135
397245,4435135
397275,4435135
397305,4435135
397335,4435135
397365,4435135
397395,4435135
397425,4435135
397455,4435135
397485,4435135
397515,4435135
397545,4435135
397575,4435135
397605,4435135
397635,4435135
397665,4435135
397695,4435135
397725,4435135
397755,4435135
397785,4435135
397815,4435135
397845,4435135
397875,4435135
397905,4435135
397935,4435135
397965,4435135
397995,4435135
398025,4435135
398055,4435135
398085,4435135
398115,4435135
398145,4435135
398175,4435135
398205,4435135
398235,4435135
398265,4435135
398295,4435135
398325,4435135
398355,4435135
398385,4435135
398415,4435135
398445,4435135
398475,4435135
398505,4435135
398535,4435135
398565,4435135
398595,4435135
398625,4435135
398655,4435135
398685,4435135
398715,4435135
398745,4435135
398775,4435135
398805,4435135
398835,4435135
398865,4435135
398895,4435135
398925,4435135
398955,4435135
398985,4435135
399015,4435135
399045,4435135
399075,4435135
399105,4435135
399135,4435135
399165,4435135
399195,4435135
399225,4435135
399255,4435135
399285,4435135
399315,4435135
399345,4435135
399375,4435135
399405,4435135
399435,4435135
399465,4435135
399495,4435135
399525,4435135
399555,4435135
399585,4435135
399615,4435135
399645,4435135
399675,4435135
399705,4435135
399735,4435135
399765,4435135
399795,4435135
399825,4435135
399855,4435135
399885,4435135
399915,4435135
399945,4435135
399975,4435135
400005,4435135
393015,4435165
393045,4435165
393075,4435165
393105,4435165
393135,4435165
393165,4435165
393195,4435165
393225,4435165
393255,4435165
393285,4435165
393315,4435165
393345,4435165
393375,4435165
393405,4435165
393435,4435165
393465,4435165
393495,4435165
393525,4435165
393555,4435165
393585,4435165
393615,4435165
393645,4435165
393675,4435165
393705,4435165
393735,4435165
393765,4435165
393795,4435165
393825,4435165
393855,4435165
393885,4435165
393915,4435165
393945,4435165
393975,4435165
394005,4435165
394035,4435165
394065,4435165
394095,4435165
394125,4435165
394155,4435165
394185,4435165
394215,4435165
394245,4435165
394275,4435165
394305,4435165
394335,4435165
394365,4435165
394395,4435165
394425,4435165
394455,4435165
394485,4435165
394515,4435165
394545,4435165
394575,4435165
394605,4435165
394635,4435165
394665,4435165
394695,4435165
394725,4435165
394755,4435165
394785,4435165
394815,4435165
394845,4435165
394875,4435165
394905,4435165
394935,4435165
394965,4435165
394995,4435165
395025,4435165
395055,4435165
395085,4435165
395115,4435165
395145,4435165
395175,4435165
395205,4435165
395235,4435165
395265,4435165
395295,4435165
395325,4435165
395355,4435165
395385,4435165
395415,4435165
395445,4435165
395475,4435165
395505,4435165
395535,4435165
395565,4435165
395595,4435165
395625,4435165
395655,4435165
395685,4435165
395715,4435165
395745,4435165
395775,4435165
395805,4435165
395835,4435165
395865,4435165
395895,4435165
395925,4435165
395955,4435165
395985,4435165
396015,4435165
396045,4435165
396075,4435165
396105,4435165
396135,4435165
396165,4435165
396195,4435165
396225,4435165
396255,4435165
396285,4435165
396315,4435165
396345,4435165
396375,4435165
396405,4435165
396435,4435165
396465,4435165
396495,4435165
396525,4435165
396555,4435165
396585,4435165
396615,4435165
396645,4435165
396675,4435165
396705,4435165
396735,4435165
396765,4435165
396795,4435165
396825,4435165
396855,4435165
396885,4435165
396915,4435165
396945,4435165
396975,4435165
397005,4435165
397035,4435165
397065,4435165
397095,4435165
397125,4435165
397155,4435165
397185,4435165
397215,4435165
397245,4435165
397275,4435165
397305,4435165
397335,4435165
397365,4435165
397395,4435165
397425,4435165
397455,4435165
397485,4435165
397515,4435165
397545,4435165
397575,4435165
397605,4435165
397635,4435165
397665,4435165
397695,4435165
397725,4435165
397755,4435165
397785,4435165
397815,4435165
397845,4435165
397875,4435165
397905,4435165
397935,4435165
397965,4435165
397995,4435165
398025,4435165
398055,4435165
398085,4435165
398115,4435165
398145,4435165
398175,4435165
398205,4435165
398235,4435165
398265,4435165
398295,4435165
398325,4435165
398355,4435165
398385,4435165
398415,4435165
398445,4435165
398475,4435165
398505,4435165
398535,4435165
398565,4435165
398595,4435165
398625,4435165
398655,4435165
398685,4435165
398715,4435165
398745,4435165
398775,4435165
398805,4435165
398835,4435165
398865,4435165
398895,4435165
398925,4435165
398955,4435165
398985,4435165
399015,4435165
399045,4435165
399075,4435165
399105,4435165
399135,4435165
399165,4435165
399195,4435165
399225,4435165
399255,4435165
399285,4435165
399315,4435165
399345,4435165
399375,4435165
399405,4435165
399435,4435165
399465,4435165
399495,4435165
399525,4435165
399555,4435165
399585,4435165
399615,4435165
399645,4435165
399675,4435165
399705,4435165
399735,4435165
399765,4435165
399795,4435165
399825,4435165
399855,4435165
399885,4435165
399915,4435165
399945,4435165
399975,4435165
400005,4435165
393015,4435195
393045,4435195
393075,4435195
393105,4435195
393135,4435195
393165,4435195
393195,4435195
393225,4435195
393255,4435195
393285,4435195
393315,4435195
393345,4435195
393375,4435195
393405,4435195
393435,4435195
393465,4435195
393495,4435195
393525,4435195
393555,4435195
393585,4435195
393615,4435195
393645,4435195
393675,4435195
393705,4435195
393735,4435195
393765,4435195
393795,4435195
393825,4435195
393855,4435195
393885,4435195
393915,4435195
393945,4435195
393975,4435195
394005,4435195
394035,4435195
394065,4435195
394095,4435195
394125,4435195
394155,4435195
394185,4435195
394215,4435195
394245,4435195
394275,4435195
394305,4435195
394335,4435195
394365,4435195
394395,4435195
394425,4435195
394455,4435195
394485,4435195
394515,4435195
394545,4435195
394575,4435195
394605,4435195
394635,4435195
394665,4435195
394695,4435195
394725,4435195
394755,4435195
394785,4435195
394815,4435195
394845,4435195
394875,4435195
394905,4435195
394935,4435195
394965,4435195
394995,4435195
395025,4435195
395055,4435195
395085,4435195
395115,4435195
395145,4435195
395175,4435195
395205,4435195
395235,4435195
395265,4435195
395295,4435195
395325,4435195
395355,4435195
395385,4435195
395415,4435195
395445,4435195
395475,4435195
395505,4435195
395535,4435195
395565,4435195
395595,4435195
395625,4435195
395655,4435195
395685,4435195
395715,4435195
395745,4435195
395775,4435195
395805,4435195
395835,4435195
395865,4435195
395895,4435195
395925,4435195
395955,4435195
395985,4435195
396015,4435195
396045,4435195
396075,4435195
396105,4435195
396135,4435195
396165,4435195
396195,4435195
396225,4435195
396255,4435195
396285,4435195
396315,4435195
396345,4435195
396375,4435195
396405,4435195
396435,4435195
396465,4435195
396495,4435195
396525,4435195
396555,4435195
396585,4435195
396615,4435195
396645,4435195
396675,4435195
396705,4435195
396735,4435195
396765,4435195
396795,4435195
396825,4435195
396855,4435195
396885,4435195
396915,4435195
396945,4435195
396975,4435195
397005,4435195
397035,4435195
397065,4435195
397095,4435195
397125,4435195
397155,4435195
397185,4435195
397215,4435195
397245,4435195
397275,4435195
397305,4435195
397335,4435195
397365,4435195
397395,4435195
397425,4435195
397455,4435195
397485,4435195
397515,4435195
397545,4435195
397575,4435195
397605,4435195
397635,4435195
397665,4435195
397695,4435195
397725,4435195
397755,4435195
397785,4435195
397815,4435195
397845,4435195
397875,4435195
397905,4435195
397935,4435195
397965,4435195
397995,4435195
398025,4435195
398055,4435195
398085,4435195
398115,4435195
398145,4435195
398175,4435195
398205,4435195
398235,4435195
398265,4435195
398295,4435195
398325,4435195
398355,4435195
398385,4435195
398415,4435195
398445,4435195
398475,4435195
398505,4435195
398535,4435195
398565,4435195
398595,4435195
398625,4435195
398655,4435195
398685,4435195
398715,4435195
398745,4435195
398775,4435195
398805,4435195
398835,4435195
398865,4435195
398895,4435195
398925,4435195
398955,4435195
398985,4435195
399015,4435195
399045,4435195
399075,4435195
399105,4435195
399135,4435195
399165,4435195
399195,4435195
399225,4435195
399255,4435195
399285,4435195
